index,concurrency,elapsed_seconds,rows,passing,quiescent_rss_bytes,rss_peak_bytes
645,1,6409.943,1,1,94355456,179986432
646,8,6422.046,8,8,89100288,767954944
647,32,6435.541,32,32,98340864,1317384192
648,1,6437.360,1,1,92438528,126386176
649,8,6449.823,8,8,92794880,652787712
650,32,6462.594,32,32,96890880,1268576256
651,1,6474.358,1,1,90267648,179601408
652,8,6486.340,8,8,88567808,282304512
653,32,6499.645,32,32,92028928,1088151552
654,1,6511.443,1,1,87564288,176156672
655,8,6523.815,8,8,89686016,538439680
656,32,6536.994,32,32,91439104,1060360192
657,1,6539.044,1,1,88870912,88870912
658,8,6551.194,8,8,88514560,688930816
659,32,6564.321,32,32,95416320,1209974784
660,1,6566.181,1,1,89366528,89366528
661,8,6578.939,8,8,92729344,612630528
662,32,6592.095,32,32,96796672,1127559168
663,1,6603.866,1,1,91426816,131575808
664,8,6615.797,8,8,86065152,614912000
665,32,6628.388,32,32,94441472,1160671232
666,1,6633.436,1,1,96849920,581804032
667,8,6645.380,8,8,91250688,660815872
668,32,6658.830,32,32,96153600,1337606144
669,1,6660.741,1,1,90300416,180969472
670,8,6673.210,8,8,88756224,652918784
671,32,6686.515,32,32,98168832,1456967680
672,1,6693.442,1,1,95522816,175751168
673,8,6705.370,8,8,94339072,693501952
674,32,6718.681,32,32,97021952,1483640832
675,1,6720.541,1,1,90828800,90828800
676,8,6732.941,8,8,90869760,700862464
677,32,6746.167,32,32,93536256,1149231104
678,1,6757.976,1,1,90624000,111390720
679,8,6770.276,8,8,88891392,278319104
680,32,6783.468,32,32,90304512,1178177536
681,1,6795.259,1,1,86441984,106745856
682,8,6807.390,8,8,85295104,629981184
683,32,6820.726,32,32,91418624,1128103936
684,1,6822.797,1,1,89808896,89808896
685,8,6835.351,8,8,91545600,700030976
686,32,6848.530,32,32,93736960,1269657600
687,1,6850.452,1,1,90718208,96899072
688,8,6862.940,8,8,91115520,642842624
689,32,6875.988,32,32,97689600,1210138624
690,1,6887.814,1,1,92360704,130887680
691,8,6899.645,8,8,89784320,628449280
692,32,6913.786,32,32,93696000,1276198912
693,1,6919.238,1,1,99315712,756297728
694,8,6931.381,8,8,90136576,683155456
695,32,6944.904,32,32,94470144,1342734336
696,1,6946.812,1,1,91602944,91602944
697,8,6958.710,8,8,95125504,659312640
698,32,6973.964,32,32,99065856,1150361600
699,1,6980.905,1,1,96841728,185020416
700,8,6993.024,8,8,96591872,701128704
701,32,7006.415,32,32,103350272,1438044160
702,1,7008.323,1,1,97415168,185692160
703,8,7020.665,8,8,97243136,723771392
704,32,7033.801,32,32,94392320,1171746816
705,1,7045.636,1,1,91496448,101457920
706,8,7057.585,8,8,85364736,297996288
707,32,7071.308,32,32,90968064,1141280768
708,1,7083.110,1,1,86781952,110645248
709,8,7095.652,8,8,89874432,659935232
710,32,7108.901,32,32,91148288,1193414656
711,1,7110.991,1,1,89460736,89460736
712,8,7122.991,8,8,88084480,646909952
713,32,7135.780,32,32,94507008,1477500928
714,1,7137.729,1,1,89153536,112680960
715,8,7149.704,8,8,88260608,696659968
716,32,7163.022,32,32,91631616,1214332928
717,1,7174.879,1,1,90775552,128290816
718,8,7187.036,8,8,85733376,555425792
719,32,7200.431,32,32,89980928,1436708864
