# Phase 28 E5 certification matrix. GENERATED by wcore_eval_scenarios::e5_matrix — do not edit.
# Nine F28-01 dimensions x three OS families x the surfaces resolved from the candidate.
# Validated by: f28-ledger.py --check-matrix and --check-no-uncontrolled-skips
# max_surface_depth=1 cells=651
#cell_id	dimension	os	surface	criticality	applicability	skip_class	skip_evidence	activeness
sandbox-probes-windows-gateway	sandbox-probes	windows	cmd:gateway	critical	applicable	-	-	required
sandbox-probes-windows-image	sandbox-probes	windows	cmd:image	critical	applicable	-	-	required
sandbox-probes-windows-init	sandbox-probes	windows	cmd:init	critical	applicable	-	-	required
sandbox-probes-windows-mcp-serve	sandbox-probes	windows	cmd:mcp-serve	critical	applicable	-	-	required
sandbox-probes-windows-migrate	sandbox-probes	windows	cmd:migrate	critical	applicable	-	-	required
sandbox-probes-windows-models	sandbox-probes	windows	cmd:models	critical	applicable	-	-	required
sandbox-probes-windows-node	sandbox-probes	windows	cmd:node	critical	applicable	-	-	required
sandbox-probes-windows-plugin	sandbox-probes	windows	cmd:plugin	critical	applicable	-	-	required
sandbox-probes-windows-profile	sandbox-probes	windows	cmd:profile	critical	applicable	-	-	required
sandbox-probes-windows-project-context	sandbox-probes	windows	cmd:project-context	critical	applicable	-	-	required
sandbox-probes-windows-self-update	sandbox-probes	windows	cmd:self-update	critical	applicable	-	-	required
sandbox-probes-windows-session	sandbox-probes	windows	cmd:session	critical	applicable	-	-	required
sandbox-probes-windows-setup	sandbox-probes	windows	cmd:setup	critical	applicable	-	-	required
sandbox-probes-windows-swarm	sandbox-probes	windows	cmd:swarm	critical	applicable	-	-	required
sandbox-probes-windows-workflow	sandbox-probes	windows	cmd:workflow	critical	applicable	-	-	required
unicode-linux-acp	unicode	linux	cmd:acp	standard	applicable	-	-	n/a
unicode-linux-agent	unicode	linux	cmd:agent	standard	applicable	-	-	n/a
unicode-linux-auth	unicode	linux	cmd:auth	standard	applicable	-	-	n/a
unicode-linux-backend	unicode	linux	cmd:backend	standard	applicable	-	-	n/a
unicode-linux-backup	unicode	linux	cmd:backup	standard	applicable	-	-	n/a
unicode-linux-cron	unicode	linux	cmd:cron	standard	applicable	-	-	n/a
unicode-linux-crucible	unicode	linux	cmd:crucible	standard	applicable	-	-	n/a
unicode-linux-fetch	unicode	linux	cmd:fetch	standard	applicable	-	-	n/a
unicode-linux-forge	unicode	linux	cmd:forge	standard	applicable	-	-	n/a
unicode-linux-gateway	unicode	linux	cmd:gateway	standard	applicable	-	-	n/a
unicode-linux-image	unicode	linux	cmd:image	standard	applicable	-	-	n/a
unicode-linux-init	unicode	linux	cmd:init	standard	applicable	-	-	n/a
unicode-linux-mcp-serve	unicode	linux	cmd:mcp-serve	standard	applicable	-	-	n/a
unicode-linux-migrate	unicode	linux	cmd:migrate	standard	applicable	-	-	n/a
unicode-linux-models	unicode	linux	cmd:models	standard	applicable	-	-	n/a
unicode-linux-node	unicode	linux	cmd:node	standard	applicable	-	-	n/a
unicode-linux-plugin	unicode	linux	cmd:plugin	standard	applicable	-	-	n/a
unicode-linux-profile	unicode	linux	cmd:profile	standard	applicable	-	-	n/a
unicode-linux-project-context	unicode	linux	cmd:project-context	standard	applicable	-	-	n/a
unicode-linux-self-update	unicode	linux	cmd:self-update	standard	applicable	-	-	n/a
unicode-linux-session	unicode	linux	cmd:session	standard	applicable	-	-	n/a
unicode-linux-setup	unicode	linux	cmd:setup	standard	applicable	-	-	n/a
unicode-linux-swarm	unicode	linux	cmd:swarm	standard	applicable	-	-	n/a
unicode-linux-workflow	unicode	linux	cmd:workflow	standard	applicable	-	-	n/a
unicode-macos-acp	unicode	macos	cmd:acp	standard	applicable	-	-	n/a
unicode-macos-agent	unicode	macos	cmd:agent	standard	applicable	-	-	n/a
unicode-macos-auth	unicode	macos	cmd:auth	standard	applicable	-	-	n/a
unicode-macos-backend	unicode	macos	cmd:backend	standard	applicable	-	-	n/a
unicode-macos-backup	unicode	macos	cmd:backup	standard	applicable	-	-	n/a
unicode-macos-cron	unicode	macos	cmd:cron	standard	applicable	-	-	n/a
unicode-macos-crucible	unicode	macos	cmd:crucible	standard	applicable	-	-	n/a
unicode-macos-fetch	unicode	macos	cmd:fetch	standard	applicable	-	-	n/a
unicode-macos-forge	unicode	macos	cmd:forge	standard	applicable	-	-	n/a
unicode-macos-gateway	unicode	macos	cmd:gateway	standard	applicable	-	-	n/a
unicode-macos-image	unicode	macos	cmd:image	standard	applicable	-	-	n/a
unicode-macos-init	unicode	macos	cmd:init	standard	applicable	-	-	n/a
unicode-macos-mcp-serve	unicode	macos	cmd:mcp-serve	standard	applicable	-	-	n/a
unicode-macos-migrate	unicode	macos	cmd:migrate	standard	applicable	-	-	n/a
unicode-macos-models	unicode	macos	cmd:models	standard	applicable	-	-	n/a
unicode-macos-node	unicode	macos	cmd:node	standard	applicable	-	-	n/a
unicode-macos-plugin	unicode	macos	cmd:plugin	standard	applicable	-	-	n/a
unicode-macos-profile	unicode	macos	cmd:profile	standard	applicable	-	-	n/a
unicode-macos-project-context	unicode	macos	cmd:project-context	standard	applicable	-	-	n/a
unicode-macos-self-update	unicode	macos	cmd:self-update	standard	applicable	-	-	n/a
unicode-macos-session	unicode	macos	cmd:session	standard	applicable	-	-	n/a
unicode-macos-setup	unicode	macos	cmd:setup	standard	applicable	-	-	n/a
unicode-macos-swarm	unicode	macos	cmd:swarm	standard	applicable	-	-	n/a
unicode-macos-workflow	unicode	macos	cmd:workflow	standard	applicable	-	-	n/a
unicode-windows-acp	unicode	windows	cmd:acp	standard	applicable	-	-	n/a
unicode-windows-agent	unicode	windows	cmd:agent	standard	applicable	-	-	n/a
unicode-windows-auth	unicode	windows	cmd:auth	standard	applicable	-	-	n/a
unicode-windows-backend	unicode	windows	cmd:backend	standard	applicable	-	-	n/a
unicode-windows-backup	unicode	windows	cmd:backup	standard	applicable	-	-	n/a
unicode-windows-cron	unicode	windows	cmd:cron	standard	applicable	-	-	n/a
unicode-windows-crucible	unicode	windows	cmd:crucible	standard	applicable	-	-	n/a
unicode-windows-fetch	unicode	windows	cmd:fetch	standard	applicable	-	-	n/a
unicode-windows-forge	unicode	windows	cmd:forge	standard	applicable	-	-	n/a
unicode-windows-gateway	unicode	windows	cmd:gateway	standard	applicable	-	-	n/a
unicode-windows-image	unicode	windows	cmd:image	standard	applicable	-	-	n/a
unicode-windows-init	unicode	windows	cmd:init	standard	applicable	-	-	n/a
unicode-windows-mcp-serve	unicode	windows	cmd:mcp-serve	standard	applicable	-	-	n/a
unicode-windows-migrate	unicode	windows	cmd:migrate	standard	applicable	-	-	n/a
unicode-windows-models	unicode	windows	cmd:models	standard	applicable	-	-	n/a
unicode-windows-node	unicode	windows	cmd:node	standard	applicable	-	-	n/a
unicode-windows-plugin	unicode	windows	cmd:plugin	standard	applicable	-	-	n/a
unicode-windows-profile	unicode	windows	cmd:profile	standard	applicable	-	-	n/a
unicode-windows-project-context	unicode	windows	cmd:project-context	standard	applicable	-	-	n/a
unicode-windows-self-update	unicode	windows	cmd:self-update	standard	applicable	-	-	n/a
unicode-windows-session	unicode	windows	cmd:session	standard	applicable	-	-	n/a
